Age,Gender,Department,Job_Level,Monthly_Salary,Years_At_Company,Overtime,Job_Satisfaction,Performance_Rating,Work_Life_Balance,Training_Hours,Remote_Work,City,Left_Company
42,FEMALE,HR,Mid,52000,1,Yes,4,1,4,30,No,Vadodara,1.0
29,MALE,IT,Mid,72000,5,Yes,2,2,5,5,No,Rajkot,0.0
38,FEMALE,IT,Junior,55000,7,No,5,5,3,20,No,Delhi,0.0
34,FEMALE,SALES,Mid,28000,4,Yes,2,1,3,5,No,Mumbai,0.0
29,FEMALE,HR,Junior,38000,2,Yes,4,4,3,30,No,Surat,1.0
25,FEMALE,IT,Manager,52000,5,Yes,3,4,3,30,Yes,Mumbai,1.0
25,MALE,HR,Mid,32000,4,Yes,2,2,5,30,No,Mumbai,1.0
25,FEMALE,IT,Mid,60000,4,Yes,2,1,3,25,Yes,Vadodara,0.0
29,MALE,HR,Manager,32000,3,Yes,1,1,3,20,No,Rajkot,1.0
23,FEMALE,MARKETING,Junior,28000,4,No,2,4,1,5,No,Ahmedabad,1.0
25,FEMALE,FINANCE,Senior,72000,4,No,5,5,4,15,Yes,Rajkot,0.0
34,FEMALE,IT,Junior,52000,10,No,4,1,4,30,No,Mumbai,0.0
48,FEMALE,FINANCE,Junior,60000,1,Yes,1,5,5,30,Yes,Rajkot,1.0
34,FEMALE,SALES,Junior,52000,3,No,4,4,3,30,No,Ahmedabad,0.0
29,FEMALE,FINANCE,Junior,45000,4,Yes,5,3,4,5,Yes,Ahmedabad,0.0
27,MALE,IT,Senior,72000,3,Yes,3,4,1,5,No,Vadodara,0.0
31,FEMALE,HR,Senior,52000,3,No,3,4,2,15,Yes,Delhi,0.0
29,MALE,MARKETING,Senior,52000,3,Yes,3,1,2,30,Yes,Rajkot,1.0
25,MALE,SALES,Senior,60000,2,Yes,3,1,3,20,No,Surat,0.0
25,MALE,HR,Senior,72000,4,No,3,4,1,15,Yes,Rajkot,0.0
23,FEMALE,IT,Senior,52000,7,No,3,3,3,10,No,Surat,0.0
48,FEMALE,FINANCE,Senior,38000,3,Yes,2,4,2,20,No,Mumbai,0.0
31,MALE,HR,Mid,28000,10,Yes,5,5,2,10,Yes,Rajkot,0.0
29,FEMALE,FINANCE,Manager,85000,2,Yes,3,3,3,15,Yes,Vadodara,1.0
29,FEMALE,IT,Mid,52000,2,Yes,2,4,3,20,No,Ahmedabad,1.0
23,FEMALE,SALES,Manager,52000,1,Yes,3,2,3,15,No,Vadodara,1.0
31,FEMALE,FINANCE,Junior,52000,2,Yes,3,4,5,30,Yes,Mumbai,1.0
48,FEMALE,FINANCE,Mid,38000,2,Yes,2,5,3,15,Yes,Mumbai,1.0
25,MALE,FINANCE,Senior,72000,10,Yes,3,4,3,20,Yes,Mumbai,1.0
29,FEMALE,MARKETING,Manager,52000,4,No,5,5,3,30,Yes,Mumbai,0.0
29,FEMALE,HR,Junior,60000,4,No,2,5,3,15,No,Vadodara,1.0
21,FEMALE,SALES,Junior,85000,4,Yes,3,5,5,15,Yes,Ahmedabad,0.0
31,FEMALE,HR,Junior,55000,3,Yes,2,5,1,15,Yes,Vadodara,0.0
29,MALE,FINANCE,Junior,28000,1,No,3,3,5,5,No,Mumbai,0.0
29,MALE,FINANCE,Senior,85000,4,Yes,3,2,1,15,Yes,Mumbai,0.0
29,MALE,MARKETING,Senior,52000,4,No,4,1,3,15,Yes,Vadodara,1.0
21,MALE,FINANCE,Manager,52000,4,Yes,4,5,3,30,No,Mumbai,0.0
29,FEMALE,FINANCE,Senior,52000,4,No,3,2,2,30,No,Mumbai,0.0
21,FEMALE,HR,Junior,85000,2,No,4,2,3,15,No,Mumbai,0.0
25,FEMALE,FINANCE,Junior,85000,3,Yes,3,4,3,15,Yes,Ahmedabad,0.0
29,MALE,FINANCE,Manager,52000,2,No,3,4,4,15,No,Mumbai,1.0
29,MALE,HR,Mid,28000,4,No,2,5,2,10,No,Mumbai,0.0
48,FEMALE,HR,Senior,55000,7,No,3,4,4,30,No,Vadodara,0.0
25,MALE,IT,Junior,55000,7,Yes,3,5,3,15,No,Ahmedabad,1.0
34,FEMALE,HR,Manager,85000,4,Yes,3,3,2,5,Yes,Mumbai,1.0
29,FEMALE,FINANCE,Junior,55000,2,Yes,2,2,4,20,Yes,Rajkot,0.0
38,MALE,FINANCE,Junior,55000,4,Yes,4,1,1,10,Yes,Mumbai,1.0
29,MALE,SALES,Manager,52000,1,Yes,3,1,3,25,Yes,Delhi,1.0
25,MALE,FINANCE,Senior,52000,7,No,5,2,3,30,No,Surat,0.0
29,MALE,HR,Manager,52000,2,No,1,3,1,15,No,Mumbai,1.0
25,FEMALE,IT,Senior,52000,4,Yes,3,5,1,10,Yes,Delhi,0.0
42,FEMALE,SALES,Senior,60000,2,No,4,5,3,15,No,Ahmedabad,0.0
29,FEMALE,HR,Mid,32000,7,No,2,5,1,15,No,Mumbai,0.0
31,FEMALE,HR,Manager,85000,4,Yes,2,4,4,5,No,Ahmedabad,0.0
38,FEMALE,SALES,Senior,52000,7,Yes,4,5,3,15,No,Mumbai,0.0
21,FEMALE,HR,Senior,45000,7,Yes,3,2,1,15,No,Vadodara,0.0
38,FEMALE,HR,Manager,45000,4,Yes,2,4,1,10,No,Mumbai,0.0
42,MALE,HR,Senior,28000,4,No,3,3,3,15,Yes,Mumbai,0.0
29,MALE,FINANCE,Manager,72000,4,Yes,3,4,3,15,No,Vadodara,1.0
42,MALE,IT,Senior,52000,4,No,4,5,3,30,No,Vadodara,0.0
48,MALE,IT,Junior,85000,10,Yes,5,4,3,5,No,Surat,0.0
29,FEMALE,MARKETING,Mid,52000,3,Yes,5,4,3,15,Yes,Delhi,1.0
42,FEMALE,HR,Manager,45000,5,Yes,3,4,4,30,No,Ahmedabad,1.0
29,FEMALE,IT,Junior,55000,4,No,5,5,2,10,No,Vadodara,1.0
25,FEMALE,HR,Senior,38000,5,Yes,3,5,3,15,Yes,Vadodara,1.0
31,MALE,HR,Junior,55000,7,Yes,4,3,5,10,No,Vadodara,0.0
31,FEMALE,SALES,Mid,52000,7,Yes,4,5,5,5,Yes,Delhi,0.0
31,FEMALE,SALES,Junior,52000,2,No,5,5,1,15,Yes,Mumbai,0.0
